day,maximum_fare,minimum_fare,avg_fare,std_dev_fare,rides
2013-11-22,900124.00,0.00,1175.66,5057.19,98486
2013-11-23,514180.00,0.00,1035.21,2924.91,96695
2013-11-24,600064.00,0.00,1138.85,4493.01,70793
2013-11-25,900166.00,0.00,1176.22,7476.65,64633
2013-11-26,800132.00,0.00,1162.53,5037.01,66721
2013-11-27,842215.00,0.00,1214.29,7772.56,71251
2013-11-28,88999.00,0.00,1139.57,1101.74,44944
2013-11-29,900082.00,0.00,1205.32,8392.16,54747
2013-11-30,900184.00,0.00,1263.96,8368.96,74107
2013-12-01,38345.00,0.00,1294.85,1143.11,66230
2013-12-02,960060.00,0.00,1361.72,8166.72,79212
2013-12-03,700064.00,0.00,1227.95,4305.91,80784
2013-12-04,700404.00,0.00,1253.79,4864.17,81456
2013-12-05,900137.00,0.00,1328.78,8160.35,94959
2013-12-06,77354.00,0.00,1108.01,1012.14,113662
2013-12-07,50004.00,0.00,1003.60,800.34,111696
2013-12-08,879856.00,0.00,1134.50,3234.17,81741
2013-12-09,99999.00,0.00,1236.76,1353.13,81897
2013-12-10,400056.00,0.00,1178.19,2005.68,83430
2013-12-11,200376.00,0.00,1143.41,1401.43,86336
2013-12-12,800058.00,0.00,1181.91,4779.73,97115
2013-12-13,91501.00,0.00,1118.26,1015.80,111330
2013-12-14,666745.00,0.00,1039.83,3564.13,109783
2013-12-15,666666.00,0.00,1129.15,2587.14,82020
2013-12-16,900537.00,0.00,1271.67,8885.35,77037
2013-12-17,800136.00,0.00,1155.37,5464.75,79911
2013-12-18,900142.00,0.00,1215.90,7447.81,85561
2013-12-19,800080.00,0.00,1179.63,6284.15,91589
2013-12-20,530019.00,0.00,1098.20,2633.59,103965
2013-12-21,666666.00,0.00,1050.17,2845.40,92347
2013-12-22,99999.00,0.00,1077.73,1175.43,65710
2013-12-23,900056.00,0.00,1198.66,10100.44,68035
2013-12-24,360011.00,0.00,1122.87,3544.14,42297
2013-12-25,99999.00,0.00,1295.01,1381.48,18296
2013-12-26,400070.00,0.00,1133.22,2333.81,41022
2013-12-27,972585.00,0.00,1195.82,9788.97,62051
2013-12-28,900106.00,0.00,1167.57,7750.37,71090
2013-12-29,900104.00,0.00,1179.30,6905.50,70994
2013-12-30,520016.00,0.00,1075.29,2352.08,70278
2013-12-31,242445.00,0.00,989.74,1152.68,93093
2014-01-01,600000.00,0.00,1103.58,2364.02,76388
2014-01-02,510032.00,0.00,1197.06,4776.95,55209
2014-01-03,900182.00,0.00,1217.72,10689.95,72355
2014-01-04,900056.00,0.00,1214.92,9861.33,68768
2014-01-05,300010.00,0.00,1163.66,1865.46,51619
2014-01-06,877777.00,0.00,1519.56,10709.30,49524
2014-01-07,590016.00,0.00,1238.68,4339.70,59377
2014-01-08,300264.00,0.00,1179.04,1688.98,70307
2014-01-09,200098.00,0.00,1142.93,1392.54,76979
2014-01-10,100001.00,0.00,1091.57,1096.93,88005
2014-01-11,83556.00,0.00,1026.05,977.03,84168
2014-01-12,99999.00,0.00,1181.68,1104.40,68066
2014-01-13,66666.00,0.00,1245.60,1320.02,62668
2014-01-14,99999.00,0.00,1112.12,1153.74,68832
2014-01-15,44980.00,0.00,1104.18,1008.91,74096
2014-01-16,99999.00,0.00,1141.17,1156.29,79930
2014-01-17,242623.00,0.00,1088.42,1370.83,95983
2014-01-18,300080.00,0.00,1009.07,1762.76,92674
